Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,46.860001,49.250000,46.630001,49.099998,49.099998,80331100
2020-01-03,48.029999,49.389999,47.540001,48.599998,48.599998,73127400
2020-01-06,48.020000,48.860001,47.860001,48.389999,48.389999,47934900
2020-01-07,49.349998,49.389999,48.040001,48.250000,48.250000,58061400
2020-01-08,47.849998,48.299999,47.139999,47.830002,47.830002,53767000
2020-01-09,48.939999,49.959999,48.389999,48.970001,48.970001,76512800
2020-01-10,49.259998,49.290001,48.000000,48.169998,48.169998,44133700
2020-01-13,48.660000,48.860001,48.240002,48.750000,48.750000,34266800
2020-01-14,48.639999,49.040001,47.910000,48.209999,48.209999,38563200
2020-01-15,48.230000,49.080002,48.119999,48.549999,48.549999,40199900
2020-01-16,49.169998,50.310001,48.990002,49.770000,49.770000,58898900
2020-01-17,50.200001,51.049999,49.900002,50.930000,50.930000,57722500
2020-01-21,50.959999,51.810001,50.700001,51.049999,51.049999,49095000
2020-01-22,51.630001,51.880001,51.200001,51.430000,51.430000,40772200
2020-01-23,51.340000,51.750000,50.740002,51.709999,51.709999,40135400
2020-01-24,52.279999,52.810001,49.470001,50.349998,50.349998,80004900
2020-01-27,48.450001,49.790001,47.900002,49.259998,49.259998,48878600
2020-01-28,50.029999,50.849998,49.480000,50.529999,50.529999,62343800
2020-01-29,47.840000,48.070000,46.099998,47.509998,47.509998,112349900
2020-01-30,46.490002,48.810001,46.130001,48.779999,48.779999,70460200
2020-01-31,48.400002,48.580002,46.790001,47.000000,47.000000,60322400
